naziv;vrsta;adresa;gradska_cetvrt;lat;lon;oib;iznos_eur;broj_isplata
NJEMAČKA MEĐUNARODNA ŠKOLA;Osnovna škola;Fratrovac 36;MAKSIMIR;45.835864;15.993169;;;
AMERIČKA MEĐUNARODNA ŠKOLA;Osnovna škola;Voćarska cesta 106;GORNJI GRAD - MEDVEŠČAK;45.823349;15.985952;;;
OSNOVNA ŠKOLA LAUDER - HUGO KON;Osnovna škola;Trg Katarine Zrinske 2;GORNJI GRAD - MEDVEŠČAK;45.814932;15.973617;;;
WALDORFSKA ŠKOLA U ZAGREBU;Osnovna škola;Jakuševečka ulica 6;NOVI ZAGREB - ISTOK;45.760372;16.010713;;;
OSNOVNA MONTESSORI ŠKOLA BARUNICE DEDEE VRANYCZANY;Osnovna škola;Ulica Matka Mandića 2;TREŠNJEVKA - SJEVER;45.800307;15.942074;;;
SALEZIJANSKA OSNOVNA ŠKOLA;Osnovna škola;Dugoratska ulica 2;TREŠNJEVKA - JUG;45.79137;15.927376;;;
OSNOVNA ŠKOLA KREATIVAN RAZVOJ, S PRAVOM JAVNOSTI;Osnovna škola;Dedići 102;PODSLJEME;45.842918;15.944753;;;
OSNOVNA ŠKOLA RUŽIČNJAK;Osnovna škola;Donje Svetice 127;PODSUSED - VRAPČE;45.800002;16.015769;;;
FRANCUSKA ŠKOLA U ZAGREBU;Osnovna škola;Fratrovac 36;MAKSIMIR;45.835864;15.993169;;;
ŠKOLA ZA BALET I RITMIKU;Osnovna škola;Zagorska ulica 16;TREŠNJEVKA - SJEVER;45.807038;15.943278;;;
GLAZBENA ŠKOLA VANJA KOS;Osnovna škola;Varaždinska cesta 57;SESVETE;45.830967;16.115925;;;
OSNOVNA ŠKOLA LOTRŠČAK;Osnovna škola;Ulica Frana Folnegovića 10;TRNJE;45.797927;16.006698;;;
OSNOVNA GLAZBENA ŠKOLA IVANA ZAJCA, PODRUČNI ODJEL SUSEDGRAD;Osnovna škola;Argentinska ulica 5;SUSEDGRAD;45.815268;15.875774;;;
OSNOVNA GLAZBENA ŠKOLA IVANA ZAJCA, PODRUČNI ODJEL STUDENTSKI GRAD;Osnovna škola;Dankovečka ulica 46;GORNJA DUBRAVA;45.834623;16.056164;;;
OSNOVNA GLAZBENA ŠKOLA IVANA ZAJCA, PODRUČNI ODJEL ZAPRUĐE;Osnovna škola;Meštrovićev trg 8B;NOVI ZAGREB - ISTOK;45.781364;15.996136;;;
OSNOVNA GLAZBENA ŠKOLA IVANA ZAJCA, PODRUČNI ODJEL TRNJE;Osnovna škola;Krčka ulica 3;TRNJE;45.797992;15.973529;;;
OSNOVNA ŠKOLA HRVATSKI LESKOVAC;Osnovna škola;Pilinka 2, Hrvatski Leskovac;NOVI ZAGREB - ZAPAD;45.746664;15.894429;;;
OSNOVNA ŠKOLA SREDIŠĆE;Osnovna škola;Ulica Savezne Republike Njemačke 2A;NOVI ZAGREB - ISTOK;45.780636;15.989336;;;
"Poliklinika za prevenciju kardiovaskularnih bolesti i rehabilitaciju (""Srčana"")";Zdravstvena ustanova;Avenija Većeslava Holjevca 22;;45.77272;15.9797;;;
Nastavni zavod za hitnu medicinu Grada Zagreba (Ispostava Novi Zagreb);Zdravstvena ustanova;Avenija Većeslava Holjevca 22;;45.77272;15.9797;;;
Hrvatski zavod za zaštitu zdravlja i sigurnost na radu;Zdravstvena ustanova;Ulica Radoslava Cimermana 64A;;45.783295;15.965371;;;
Nastavni zavod za hitnu medicinu Grada Zagreba (Ispostava Jarun);Zdravstvena ustanova;Ulica Lovre Ratkovića 2;;45.785526;15.92845;;;
Nastavni zavod za hitnu medicinu Grada Zagreba (Objekt Heinzlova 88);Zdravstvena ustanova;Ulica Vjekoslava Heinzela 88;;45.800496;16.012387;;;
"Poliklinika za reumatske bolesti, fizikalnu medicinu i rehabilitaciju ""Drago Čop""";Zdravstvena ustanova;Mihanovićeva ulica 3;;45.80544;15.974704;;;
"Psihijatrijska bolnica ""Sveti Ivan""";Zdravstvena ustanova;Jankomir  11;;45.805702;15.875268;;;
"Poliklinika za rehabilitaciju slušanja i govora ""SUVAG"" (Osnovna škola)";Zdravstvena ustanova;Ulica Ljudevita Posavskog 10;;45.808153;15.993488;88696689887;;
"Poliklinika za rehabilitaciju slušanja i govora ""SUVAG""";Zdravstvena ustanova;Ulica Ljudevita Posavskog 10/2;;45.807396;15.993572;88696689887;;
"Poliklinika za rehabilitaciju slušanja i govora ""SUVAG"" (Dječji vrtić)";Zdravstvena ustanova;Ulica Ljudevita Posavskog 10/1;;45.807795;15.993706;;;
Hrvatski zavod za hitnu medicinu;Zdravstvena ustanova;Planinska ulica 13;;45.809387;16.012732;;;
Klinika za dječje bolesti;Zdravstvena ustanova;Ulica Vjekoslava Klaića 16;;45.809285;15.965033;;;
Hrvatski zavod za toksikologiju i antidoping;Zdravstvena ustanova;Borongajska cesta 83G;;45.810542;16.040647;;;
Polilklinika za zaštitu djece i mladih grada Zagreba;Zdravstvena ustanova;Đorđićeva ulica 26;;45.81058;15.984821;;;
Nastavni zavod za hitnu medicinu Grada Zagreba (Ispostava Centar);Zdravstvena ustanova;Đorđićeva ulica 26;;45.81058;15.984821;;;
"Poliklinika za bolesti dišnog sustava (""Plućna"")";Zdravstvena ustanova;Prilaz baruna Filipovića 11;;45.811365;15.944473;;;
"Poliklinika za prevenciju kardiovaskularnih bolesti i rehabilitaciju (""Srčana"")";Zdravstvena ustanova;Draškovićeva ulica 13;;45.812508;15.983678;;;
Hrvatski zavod za transfuzijsku medicinu;Zdravstvena ustanova;Petrova ulica 3;;45.815878;15.991356;;;
"Klinički bolnički centar ""Sestre milosrdnice""";Zdravstvena ustanova;Vinogradska cesta 29;;45.81534;15.953639;;;
"Klinički bolnički centar ""Zagreb""";Zdravstvena ustanova;Petrova ulica 13;;45.815619;15.992924;46377257342;;
Nastavni zavod za hitnu medicinu Grada Zagreba (Ispostava Gajnice);Zdravstvena ustanova;Gajnice 7;;45.815062;15.872493;;;
Specijalna bolnica za zaštitu djece s neurorazvojnim i motoričkim smetnjama;Zdravstvena ustanova;Goljak 2;;45.818898;15.963887;;;
"Klinički bolnički centar ""Zagreb""";Zdravstvena ustanova;Šalata 4;;45.81829;15.98335;46377257342;;
"Klinička bolnica ""Merkur""";Zdravstvena ustanova;Dugi dol 4A;;45.820382;15.996193;;;
"Klinička bolnica ""Merkur""";Zdravstvena ustanova;Ulica Ivana Zajca 19;;45.820838;15.997877;;;
"Klinički bolnički centar ""Zagreb""";Zdravstvena ustanova;Božidarevićeva ulica 11;;45.8209;16.00984;46377257342;;
"Klinički bolnički centar ""Zagreb""";Zdravstvena ustanova;Ulica Mije Kišpatića 12;;45.824081;16.006453;46377257342;;
Nastavni zavod za hitnu medicinu Grada Zagreba (Ispostava Dubrava);Zdravstvena ustanova;Maksimirska cesta 286;;45.824358;16.038848;;;
"Dječja bolnica ""Srebrenjak""";Zdravstvena ustanova;Srebrenjak 100;;45.825128;15.993002;;;
"Klinički bolnički centar ""Zagreb""";Zdravstvena ustanova;Jordanovac 104;;45.825608;16.002836;46377257342;;
Nastavni zavod za hitnu medicinu Grada Zagreba (Ispostava Sesvete);Zdravstvena ustanova;Ninska ulica 10;;45.826088;16.109093;;;
"Hrvatski zavod za javno zdravstvo ""Dr. Andrija Štampar""";Zdravstvena ustanova;Rockefellerova ulica 7;;45.827717;15.981799;;;
"Klinika za infektivne bolesti ""Dr. Fran Mihaljević""";Zdravstvena ustanova;Mirogojska cesta 8;;45.829752;15.980176;;;
Hrvatski zavod za telemedicinu;Zdravstvena ustanova;Ksaver 211;;45.83213;15.976201;;;
"Klinička bolnica ""Dubrava""";Zdravstvena ustanova;Avenija Gojka Šuška 6;;45.834388;16.03459;;;
Specijalna bolnica za zaštitu djece s neurorazvojnim i motoričkim smetnjama;Zdravstvena ustanova;Zelengaj 37;;45.825723;15.966188;;;
Specijalna bolnica za zaštitu djece s neurorazvojnim i motoričkim smetnjama;Zdravstvena ustanova;"Zelengaj 37/1 (""Mali Zelengaj"")";;45.825651;15.965652;;;
Ustanova za zdravstvenu njegu u kući;Zdravstvena ustanova;Ulica Vladimira Varićaka 18;;45.765269;15.987515;64192076379;;
"Klinička bolnica "" Sveti Duh""";Zdravstvena ustanova;Sveti duh 64;;45.819772;15.938972;65119154523;-279149.15;20
